date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-04-26-14:15:55,91640,465,1540302,30,0.995,0.9997,0.9973,1632437,22.712
2025-04-26-14:33:44,89269,2159,1644985,84,0.9764,0.9991,0.9876,1736497,23.145
2025-04-26-14:34:08,73959,762,1447019,200,0.9898,0.9973,0.9935,1521940,23.194
2025-04-26-14:34:33,83837,1703,1298495,91,0.9801,0.9989,0.9894,1384126,23.242
2025-04-26-14:34:57,82462,1440,1655461,84,0.9828,0.999,0.9908,1739447,22.71
2025-04-26-14:35:21,92032,1005,1610834,77,0.9892,0.9992,0.9942,1703948,22.758
2025-04-26-14:35:45,84207,927,1683321,131,0.9891,0.9984,0.9938,1768586,22.539
2025-04-26-14:53:30,64830,1089,1325995,81,0.9835,0.9988,0.9911,1391995,22.521
2025-04-26-14:53:54,69052,563,1681640,69,0.9919,0.999,0.9954,1751324,22.398
2025-04-26-14:54:18,83024,1179,1499265,64,0.986,0.9992,0.9926,1583532,22.999
2025-04-26-14:54:42,59230,1181,1625483,1090,0.9805,0.9819,0.9812,1686984,22.75
2025-04-26-14:55:06,58082,3361,1530066,85,0.9453,0.9985,0.9712,1591594,22.944
2025-04-26-14:55:30,105262,2519,1559905,357,0.9766,0.9966,0.9865,1668043,22.86
2025-04-26-14:55:54,61107,1725,1334211,198,0.9725,0.9968,0.9845,1397241,22.886
2025-04-26-14:56:18,76820,2226,1554379,68,0.9718,0.9991,0.9853,1633493,22.702
2025-04-26-14:56:42,65495,1638,1365384,126,0.9756,0.9981,0.9867,1432643,22.995
2025-04-26-14:57:06,63626,2320,1548565,93,0.9648,0.9985,0.9814,1614604,22.741
2025-04-26-14:57:30,78148,1868,1688992,106,0.9767,0.9986,0.9875,1769114,22.888
2025-04-26-14:57:54,71494,1545,1725299,97,0.9788,0.9986,0.9886,1798435,22.909
2025-04-26-14:58:18,80053,1287,1439146,79,0.9842,0.999,0.9915,1520565,22.748
2025-04-26-14:58:42,95819,2031,1547343,49,0.9792,0.9995,0.9893,1645242,23.028
2025-04-26-14:59:07,77562,731,1506209,123,0.9907,0.9984,0.9945,1584625,22.789
2025-04-26-14:59:31,97518,1452,1259116,88,0.9853,0.9991,0.9922,1358174,22.942
2025-04-26-14:59:55,88360,788,1612639,37,0.9912,0.9996,0.9954,1701824,22.96
2025-04-26-15:00:19,89923,1239,1617747,61,0.9864,0.9993,0.9928,1708970,22.847
2025-04-26-15:00:43,76736,670,1513543,124,0.9913,0.9984,0.9949,1591073,22.794
2025-04-26-15:01:07,73620,1390,1461637,41,0.9815,0.9994,0.9904,1536688,22.856
2025-04-26-15:01:31,61205,480,1576991,56,0.9922,0.9991,0.9956,1638732,22.818
2025-04-26-15:01:55,83982,635,1623277,65,0.9925,0.9992,0.9958,1707959,22.809
2025-04-26-15:02:19,94061,540,1622454,55,0.9943,0.9994,0.9968,1717110,22.716
2025-04-26-15:02:43,65869,1094,1447533,56,0.9837,0.9992,0.9913,1514552,23.036
2025-04-26-15:03:07,100937,546,1400382,48,0.9946,0.9995,0.9971,1501913,22.89
2025-04-26-15:03:31,86616,840,1513795,114,0.9904,0.9987,0.9945,1601365,22.832
2025-04-26-15:03:55,76623,638,1350609,65,0.9917,0.9992,0.9954,1427935,22.721
2025-04-26-15:04:20,70575,827,1528499,75,0.9884,0.9989,0.9937,1599976,23.127
2025-04-26-15:04:44,84080,470,1565963,16,0.9944,0.9998,0.9971,1650529,22.772
2025-04-26-15:05:08,70263,769,1415887,1225,0.9892,0.9829,0.986,1488144,23.222
2025-04-26-15:05:32,70848,2714,1160503,928,0.9631,0.9871,0.9749,1234993,22.802
2025-04-26-15:05:56,69285,1900,1436350,288,0.9733,0.9959,0.9845,1507823,22.8
2025-04-26-15:06:21,78069,2406,1548173,518,0.9701,0.9934,0.9816,1629166,23.168
2025-04-26-15:06:45,68888,2011,1281244,84,0.9716,0.9988,0.985,1352227,22.722
