file_name,accuracy,tn,fp,fn,tp,precision,recall,f1,annot_fg,annot_bg,area_true,area_pred,area_error,seg_time,model_name,annot_duration_s,clicks
|1930330 Dual Prop, Resistivity, Gamma Ray Log Scan_001.jpg|,0.9998505943543342,419602,55,9,8698,0.9937164400776877,0.9989663489146664,0.9963344788087057,19,209,8707,8753,46,1747659536.0,000070_1747659531.pkl,0,0
1640150 ITKILLIK UNIT 1 TEMP LOG_004.jpg,0.9952787373840005,438384,2091,0,2415,0.5359520639147803,1.0,0.6978760294755093,0,60120,2415,4506,2091,1747659646.0,000071_1747659556.pkl,53.28436851501465,8
1900740 Resistivity-Gamma-Directional Survey Scan_004.jpg,0.9984118305605457,413098,178,493,8730,0.9800179613830265,0.9465466767862951,0.9629915614141525,584,2510,9223,8908,-315,1747659700.0,000071_1747659556.pkl,163.17737650871277,30
2002170_PBU 02-03B_Gamma Ray Log Scan (TVD)_003.jpg,0.9960611057089305,421927,1677,0,2150,0.5617977528089888,1.0,0.7194244604316548,0,13690,2150,3827,1677,1747660230.0,000071_1747659556.pkl,121.04104614257812,29
1770670 Core Gamma Correlation Scan_000.jpg,1.0,431002,0,0,13178,1.0,1.0,1.0,0,0,13178,13178,0,1747660352.0,000071_1747659556.pkl,38.264639377593994,0
|1930430 Dual Prop, Resistivity, Gamma Ray Log Scan_002.jpg|,0.9979892777064673,414329,762,98,12518,0.9426204819277109,0.9922320862396956,0.9667902378745753,128,2178,12616,13280,664,1747660621.0,000072_1747660423.pkl,0,0
3H-33A_LDL_10DEC23_img_002.jpg,0.9980948407731887,704780,1368,2,12950,0.904455929599106,0.9998455836936381,0.9497616428309498,4,33264,12952,14318,1366,1747660860.0,000072_1747660423.pkl,253.45941185951233,44
|1920200 Dual Prop, Resistivity, Gamma, Directional Log Scan_004.jpg|,1.0,636339,0,0,48235,1.0,1.0,1.0,0,0,48235,48235,0,1747661118.0,000072_1747660423.pkl,0,0
|1930650 Dual Prop, Resistivity, Gamma Ray Log B&W_001.jpg|,1.0,417617,0,0,10090,1.0,1.0,1.0,0,0,10090,10090,0,1747661413.0,000072_1747660423.pkl,0,0
T19980 LDL_01AUG10_002.jpg,0.9962899110406179,700395,2200,490,21965,0.9089592385681771,0.9781785793809842,0.9422994422994423,594,35808,22455,24165,1710,1747661429.0,000072_1747660423.pkl,285.91118359565735,71
|1930650 Dual Prop, Resistivity, Gamma Ray Log B&W_004.jpg|,1.0,408520,0,0,19187,1.0,1.0,1.0,0,0,19187,19187,0,1747661765.0,000072_1747660423.pkl,0,0
|1920200 Dual Prop, Resistivity, Gamma, Directional Log Scan_001.jpg|,0.9997209943702214,682630,191,0,1753,0.9017489711934157,1.0,0.9483364890451718,0,2364,1753,1944,191,1747661784.0,000072_1747660423.pkl,0,0
|1930650 Dual Prop, Resistivity, Gamma Ray Log B&W_002.jpg|,0.9987772002796307,413656,42,481,13528,0.9969049373618276,0.9656649296880577,0.98103629573226,560,118,14009,13570,-439,1747661839.0,000072_1747660423.pkl,0,0
CD3-130 PB2  EcoScope 2MD Recorded Mode Log_001.jpg,1.0,766009,0,0,27872,1.0,1.0,1.0,0,0,27872,27872,0,1747662022.0,000072_1747660423.pkl,0,0
ODSN-24 PB1 2in TVD_000.jpg,1.0,672260,0,0,139,1.0,1.0,1.0,0,0,139,139,0,1747662042.0,000072_1747660423.pkl,0,0
3H-33A_LDL_10DEC23_img_003.jpg,1.0,714647,0,0,4453,1.0,1.0,1.0,0,0,4453,4453,0,1747662067.0,000072_1747660423.pkl,0,0
ODSN-24 PB1 2in TVD_004.jpg,0.9970999361985964,648441,1335,615,22008,0.9428094075311657,0.9728152764885294,0.9575773397728756,873,3046,22623,23343,720,1747662081.0,000072_1747660423.pkl,665.5459461212158,119
|1930270 Dual Prop, Resistivity, Gamma Ray Log Scan_002.jpg|,1.0,426068,0,0,2296,1.0,1.0,1.0,0,0,2296,2296,0,1747662751.0,000072_1747660423.pkl,0,0
1780180 PRUDHOE BAY UNIT 04-12 TEMP LOG_002.jpg,1.0,444003,0,0,219,1.0,1.0,1.0,0,0,219,219,0,1747662783.0,000072_1747660423.pkl,0,0
T19972 LDL_04AUG10_001.jpg,1.0,369091,0,0,37952,1.0,1.0,1.0,0,0,37952,37952,0,1747662790.0,000072_1747660423.pkl,0,0
|1920950 Dual Prop, Resistivity, Gamma Ray Log Scan_003.jpg|,0.9781543187994801,390856,7763,1481,23050,0.748060883393373,0.9396274102156456,0.8329719572130674,1709,78269,24531,30813,6282,1747662807.0,000072_1747660423.pkl,0,0
2002170_PBU 02-03B_Gamma Ray Log Scan (TVD)_002.jpg,0.9783208143669818,414571,9230,0,1953,0.17464007869087006,1.0,0.2973507917174178,0,219826,1953,11183,9230,1747663253.0,000072_1747660423.pkl,154.7970175743103,34
1930110 Porosity and Gamma Ray Log Scan_004.jpg,0.9942830683464451,430322,24,2470,3432,0.9930555555555556,0.5814977973568282,0.7334900619790554,2569,24,5902,3456,-2446,1747663411.0,000072_1747660423.pkl,444.4411928653717,108
T19982 PlugSetting_03JUL10_001.jpg,1.0,728755,0,0,1395,1.0,1.0,1.0,0,0,1395,1395,0,1747663914.0,000072_1747660423.pkl,0,0
1900770 Resistivity-Gamma-Dual Prop Survey Scan_000.jpg,0.9984112341123411,668121,1075,10,13714,0.9273108391371966,0.9992713494607987,0.9619471819871638,14,6761,13724,14789,1065,1747663932.0,000072_1747660423.pkl,44.999645709991455,7
|1920270 Density, Porosity, Resistivity, Gamma Ray Log Scan B&W_002.jpg|,1.0,408522,0,0,19185,1.0,1.0,1.0,0,0,19185,19185,0,1747664003.0,000072_1747660423.pkl,0,0
|1901260 R, Gamma, Directional Log Scan_004.jpg|,0.9984849762092091,413607,647,0,12802,0.951892334002528,1.0,0.9753533198735286,0,1451,12802,13449,647,1747664012.0,000072_1747660423.pkl,0,0
|1920380 Dual Prop, Resistivity, Gamma Ray Log Scan_003.jpg|,1.0,427589,0,0,118,1.0,1.0,1.0,0,0,118,118,0,1747664386.0,000072_1747660423.pkl,0,0
1961900 Core Gamma Log Scan_003.jpg,1.0,404127,0,0,9963,1.0,1.0,1.0,0,0,9963,9963,0,1747664398.0,000072_1747660423.pkl,0,0
T19982 PlugSetting_03JUL10_000.jpg,1.0,728185,0,0,1965,1.0,1.0,1.0,0,0,1965,1965,0,1747664406.0,000072_1747660423.pkl,0,0
|1901260 R, Gamma, Directional Log Scan_000.jpg|,0.9997915964182683,416834,33,56,10133,0.9967538855006886,0.9945038767298067,0.9956276099238516,66,122,10189,10166,-23,1747664442.0,000072_1747660423.pkl,0,0
|1930340 Dual Prop, Resistivity, Density, Gamma Ray Log Scan_004.jpg|,1.0,401390,0,0,26317,1.0,1.0,1.0,0,0,26317,26317,0,1747664607.0,000072_1747660423.pkl,0,0
1801120 Gamma Ray Plot Scan_002.jpg,1.0,556710,0,0,1010,1.0,1.0,1.0,0,0,1010,1010,0,1747664615.0,000072_1747660423.pkl,0,0
